method,query_id,query,rank,pmid,title,score,url,relevance
tfidf,1,shortness of breath chest tightness,1,42158705,Clinical characteristics and prognostic factors influencing respiratory syncytial virus pneumonia in children with atopy: a retrospective cohort study.,17.175665453679173,https://pubmed.ncbi.nlm.nih.gov/42158705/,2
tfidf,1,shortness of breath chest tightness,2,42207455,Asthma daytime and nighttime symptom diaries: content validity and qualitative exploration of meaningful change in patients with moderate-to-severe asthma.,8.620557552371846,https://pubmed.ncbi.nlm.nih.gov/42207455/,2
tfidf,1,shortness of breath chest tightness,3,42181381,Atraumatic Transdiaphragmatic Intercostal Hernia Following a Coughing Spell: A Case Report.,8.361334721868651,https://pubmed.ncbi.nlm.nih.gov/42181381/,1
tfidf,1,shortness of breath chest tightness,4,42192344,Diagnosis and management of mixed Chlamydia abortus and psittaci pneumonia guided by metagenomic next-generation sequencing: a case report.,7.563935931082481,https://pubmed.ncbi.nlm.nih.gov/42192344/,2
tfidf,1,shortness of breath chest tightness,5,42175403,Mycobacterium avium complex pulmonary disease in rheumatoid arthritis-associated interstitial lung disease under non-biologic immunomodulatory therapy: A case report.,6.321076133373321,https://pubmed.ncbi.nlm.nih.gov/42175403/,1
tfidf,1,shortness of breath chest tightness,6,42181565,Construction of a nomogram combining CT and serum markers for predicting macrolide resistance gene mutation status in pediatric Mycoplasma pneumoniae pneumonia.,5.8755834087044665,https://pubmed.ncbi.nlm.nih.gov/42181565/,2
tfidf,1,shortness of breath chest tightness,7,42200999,"Chronic Obstructive Pulmonary Disease and Asthma Among Workers and Residents of Navanakorn Industrial Zone, Thailand.",4.418405044980326,https://pubmed.ncbi.nlm.nih.gov/42200999/,2
tfidf,1,shortness of breath chest tightness,8,42185817,Inspiratory capacity and inhalation techniques evaluated and training by digital therapy comprehensive management platform in COPD patients.,4.192780646602041,https://pubmed.ncbi.nlm.nih.gov/42185817/,1
tfidf,1,shortness of breath chest tightness,9,42158656,"Asthma: onset at young, persist when grow up.",3.542372934453549,https://pubmed.ncbi.nlm.nih.gov/42158656/,1
tfidf,1,shortness of breath chest tightness,10,42205504,Breath-by-breath: unmasking cardio-respiratory conditions through capnography waveforms - the general breathing record study.,3.3827090257848185,https://pubmed.ncbi.nlm.nih.gov/42205504/,2
tfidf,2,persistent cough wheezing asthma,1,42161543,"Association of early-life human rhinovirus and respiratory syncytial virus infections with childhood asthma: a cohort study in Suzhou, China.",7.492163347393703,https://pubmed.ncbi.nlm.nih.gov/42161543/,2
tfidf,2,persistent cough wheezing asthma,2,42181106,Efficacy of Adding Intravenous Methylprednisolone to Nebulized Budesonide in RSV Pneumonia: Modification by Bacterial Co-Infection - A Retrospective Cohort Study.,7.326397981199403,https://pubmed.ncbi.nlm.nih.gov/42181106/,1
tfidf,2,persistent cough wheezing asthma,3,42194236,"Severe Asthma Exacerbations in the Pediatric Intensive Care Unit: Clinical Profile, Management, and Outcomes-Retrospective Study.",6.815714815782161,https://pubmed.ncbi.nlm.nih.gov/42194236/,2
tfidf,2,persistent cough wheezing asthma,4,42207455,Asthma daytime and nighttime symptom diaries: content validity and qualitative exploration of meaningful change in patients with moderate-to-severe asthma.,6.189763038299311,https://pubmed.ncbi.nlm.nih.gov/42207455/,2
tfidf,2,persistent cough wheezing asthma,5,42158373,RSV-infected children with mixed infections: clinical features and early predictive indicators of codetection with Streptococcus pneumoniae and Haemophilus influenzae.,5.799400550964754,https://pubmed.ncbi.nlm.nih.gov/42158373/,1
tfidf,2,persistent cough wheezing asthma,6,42213688,Assessment of knowledge on self-management and level of asthma control among patients attending a tertiary care center in Nepal: A cross-sectional study.,5.7338420501244745,https://pubmed.ncbi.nlm.nih.gov/42213688/,2
tfidf,2,persistent cough wheezing asthma,7,42158656,"Asthma: onset at young, persist when grow up.",5.627464093641891,https://pubmed.ncbi.nlm.nih.gov/42158656/,2
tfidf,2,persistent cough wheezing asthma,8,42198667,Persistent Olfactory Dysfunction Three Years After COVID-19: A Multicenter Observational Study.,5.582635123109833,https://pubmed.ncbi.nlm.nih.gov/42198667/,0
tfidf,2,persistent cough wheezing asthma,9,42158776,Actinomyces graevenitzii Detected in a Case of Endobronchial Actinomycosis Caused by Foreign Body Aspiration: A Case Report.,5.471689656170849,https://pubmed.ncbi.nlm.nih.gov/42158776/,0
tfidf,2,persistent cough wheezing asthma,10,42181567,"Association between a four-locus gene model including IL13, IL4, FCER1B, and ADRB2 and asthma outcomes.",5.418929193489512,https://pubmed.ncbi.nlm.nih.gov/42181567/,2
tfidf,3,fever cough pneumonia,1,42175396,Clinical characteristics and predictors of Mycoplasma pneumoniae pneumonia coinfection with Bordetella pertussis in children.,11.873535381553872,https://pubmed.ncbi.nlm.nih.gov/42175396/,2
tfidf,3,fever cough pneumonia,2,42157124,"Prevalence, associated factors and treatment prescriptions for community-acquired pneumonia: a cross-sectional study at the largest children's hospital in the Ashanti Region, Ghana.",7.751483061691446,https://pubmed.ncbi.nlm.nih.gov/42157124/,2
tfidf,3,fever cough pneumonia,3,42157039,Clinical and phenotypic characteristics of chronic cough patients without sputum eosinophilia.,7.339995221065176,https://pubmed.ncbi.nlm.nih.gov/42157039/,2
tfidf,3,fever cough pneumonia,4,42182805,A pilot study on the relationship between temperature and humidity and the detection of basidiomycetes in sputum from patients with chronic cough in the Nagasaki region.,6.763042724314555,https://pubmed.ncbi.nlm.nih.gov/42182805/,2
tfidf,3,fever cough pneumonia,5,42192344,Diagnosis and management of mixed Chlamydia abortus and psittaci pneumonia guided by metagenomic next-generation sequencing: a case report.,5.370059313248314,https://pubmed.ncbi.nlm.nih.gov/42192344/,2
tfidf,3,fever cough pneumonia,6,42181106,Efficacy of Adding Intravenous Methylprednisolone to Nebulized Budesonide in RSV Pneumonia: Modification by Bacterial Co-Infection - A Retrospective Cohort Study.,5.370059313248314,https://pubmed.ncbi.nlm.nih.gov/42181106/,2
tfidf,3,fever cough pneumonia,7,42182623,Risk factors associated with plastic bronchitis in children with severe Mycoplasma pneumoniae pneumonia: a systematic review and meta-analysis.,5.316923420314436,https://pubmed.ncbi.nlm.nih.gov/42182623/,2
tfidf,3,fever cough pneumonia,8,42211619,Pulmonary Mucormycosis Presenting as Rapidly Progressive Cavitary Pneumonia and Lung Abscess in a Patient With Type 2 Diabetes Mellitus and a Solitary Functioning Kidney: A Report of a Rare Case.,5.271564959442181,https://pubmed.ncbi.nlm.nih.gov/42211619/,2
tfidf,3,fever cough pneumonia,9,42158683,A case report of X-linked agammaglobulinemia complicated with necrotic pneumonia.,5.271564959442181,https://pubmed.ncbi.nlm.nih.gov/42158683/,2
tfidf,3,fever cough pneumonia,10,42211704,"Genetic and epidemiological characteristics of the spread of human metapneumovirus in Bulgaria, 2023-2025.",5.132744964599642,https://pubmed.ncbi.nlm.nih.gov/42211704/,0
tfidf,4,pulmonary fibrosis breathing difficulty,1,42201061,Task-Evoked Pupillary Dynamics Are Altered in Post-COVID Syndrome.,10.17573990602421,https://pubmed.ncbi.nlm.nih.gov/42201061/,0
tfidf,4,pulmonary fibrosis breathing difficulty,2,42182718,Copanlisib ameliorates pulmonary fibrosis by modulating cellular autophagy through PI3K/Akt/mTORC1 pathway.,7.396656442875894,https://pubmed.ncbi.nlm.nih.gov/42182718/,2
tfidf,4,pulmonary fibrosis breathing difficulty,3,42204838,Multi-omics reveals a novel Cxcr4(+) subpopulation of alveolar macrophages and therapeutic effect of AMD3100 in mice with advanced silicosis.,6.65626750113165,https://pubmed.ncbi.nlm.nih.gov/42204838/,0
tfidf,4,pulmonary fibrosis breathing difficulty,4,42174588,Doublecortin-like kinase 1 promotes fibroblast activation and fibrotic progression through Smad3 binding in idiopathic pulmonary fibrosis.,6.016485404752068,https://pubmed.ncbi.nlm.nih.gov/42174588/,2
tfidf,4,pulmonary fibrosis breathing difficulty,5,42210244,Exploring the role of RCEO in macrophage-mediated modulation of pulmonary fibrosis.,5.7372297580896205,https://pubmed.ncbi.nlm.nih.gov/42210244/,2
tfidf,4,pulmonary fibrosis breathing difficulty,6,42196173,"Diagnostic Usefulness of SP-D, CCL2/MCP-1, and IL-18 in Assessing Respiratory Function and Risk of Pulmonary Fibrosis in COVID-19 Patients.",5.675311072109642,https://pubmed.ncbi.nlm.nih.gov/42196173/,2
tfidf,4,pulmonary fibrosis breathing difficulty,7,42198516,MFN2 Overexpression Attenuates Coal Dust-Induced Pulmonary Fibrosis by Modulating MAMs Integrity and Cell Apoptosis.,5.58130732396652,https://pubmed.ncbi.nlm.nih.gov/42198516/,2
tfidf,4,pulmonary fibrosis breathing difficulty,8,42195070,Holistic Management of Pulmonary Fibrosis: A Comprehensive Review.,5.490112740899463,https://pubmed.ncbi.nlm.nih.gov/42195070/,2
tfidf,4,pulmonary fibrosis breathing difficulty,9,42207455,Asthma daytime and nighttime symptom diaries: content validity and qualitative exploration of meaningful change in patients with moderate-to-severe asthma.,5.463246982215155,https://pubmed.ncbi.nlm.nih.gov/42207455/,1
tfidf,4,pulmonary fibrosis breathing difficulty,10,42205504,Breath-by-breath: unmasking cardio-respiratory conditions through capnography waveforms - the general breathing record study.,5.463246982215155,https://pubmed.ncbi.nlm.nih.gov/42205504/,2
tfidf,5,COPD chronic cough,1,42157039,Clinical and phenotypic characteristics of chronic cough patients without sputum eosinophilia.,19.44947701950637,https://pubmed.ncbi.nlm.nih.gov/42157039/,2
tfidf,5,COPD chronic cough,2,42182805,A pilot study on the relationship between temperature and humidity and the detection of basidiomycetes in sputum from patients with chronic cough in the Nagasaki region.,13.13263902248148,https://pubmed.ncbi.nlm.nih.gov/42182805/,2
tfidf,5,COPD chronic cough,3,42182777,"Rapid decline in lung function is associated with more chronic respiratory symptoms, more severe small airway dysfunction and lung structural changes.",8.71142261757722,https://pubmed.ncbi.nlm.nih.gov/42182777/,2
tfidf,5,COPD chronic cough,4,42199172,Program-Specific Podcasting as a Supplemental Learning Tool for Subspecialty Fellows.,7.775176250200431,https://pubmed.ncbi.nlm.nih.gov/42199172/,0
tfidf,5,COPD chronic cough,5,42180826,The possible mechanisms linking chronic obstructive pulmonary disease and coronary atherosclerosis based on coronary computed tomography angiography and animal experiments.,4.034447011094055,https://pubmed.ncbi.nlm.nih.gov/42180826/,2
tfidf,5,COPD chronic cough,6,42204658,"Impact of CKD and COPD co-existence on mortality, vascular dementia, and Alzheimer's dementia; a comparative cohort study.",3.9623632307250434,https://pubmed.ncbi.nlm.nih.gov/42204658/,2
tfidf,5,COPD chronic cough,7,42159657,Peripheral Blood Inflammatory Markers and Immune Cell Profiles in Smokers With and Without COPD.,3.7864551276497007,https://pubmed.ncbi.nlm.nih.gov/42159657/,2
tfidf,5,COPD chronic cough,8,42163317,"Cardiorespiratory fitness, genetic susceptibility, and the risk of chronic obstructive pulmonary disease: findings from observational and two-sample bidirectional Mendelian randomisation analyses.",3.775422209252781,https://pubmed.ncbi.nlm.nih.gov/42163317/,2
tfidf,5,COPD chronic cough,9,42175396,Clinical characteristics and predictors of Mycoplasma pneumoniae pneumonia coinfection with Bordetella pertussis in children.,3.77529386085876,https://pubmed.ncbi.nlm.nih.gov/42175396/,1
tfidf,5,COPD chronic cough,10,42180799,Longitudinal Spirometric Trajectory from Normal Lung Function to PRISm and COPD in a Population-Based Korean Cohort.,3.637131809984421,https://pubmed.ncbi.nlm.nih.gov/42180799/,2
tfidf,6,bronchitis mucus cough,1,42198355,Mucoactive Agents in Muco-Obstructive Lung Diseases: A Critical Reappraisal of Pharmacological Effects and Clinical Outcomes.,8.63491300483776,https://pubmed.ncbi.nlm.nih.gov/42198355/,1
tfidf,6,bronchitis mucus cough,2,42180443,"The impacts of air pollution on daily hospitalizations for acute bronchitis in children: a perspective from the coastal city of Shantou, China.",6.542436748220152,https://pubmed.ncbi.nlm.nih.gov/42180443/,2
tfidf,6,bronchitis mucus cough,3,42158776,Actinomyces graevenitzii Detected in a Case of Endobronchial Actinomycosis Caused by Foreign Body Aspiration: A Case Report.,5.868216697259296,https://pubmed.ncbi.nlm.nih.gov/42158776/,0
tfidf,6,bronchitis mucus cough,4,42157039,Clinical and phenotypic characteristics of chronic cough patients without sputum eosinophilia.,5.240530786040854,https://pubmed.ncbi.nlm.nih.gov/42157039/,2
tfidf,6,bronchitis mucus cough,5,42176270,FOXA1-mediated CEPT1 deficiency in airway epithelium drives asthma via an ER stress-mitochondrial dysfunction axis.,5.236904815644473,https://pubmed.ncbi.nlm.nih.gov/42176270/,1
tfidf,6,bronchitis mucus cough,6,42166638,Impaired mucociliary clearance in bronchiectasis: the result of a differentiation-delayed airway epithelium?,5.236904815644473,https://pubmed.ncbi.nlm.nih.gov/42166638/,1
tfidf,6,bronchitis mucus cough,7,42164058,"Small Airway Disease in Pre-COPD and Early COPD: Insights Into the Pulmonary ""Silent Zone"".",5.217553340526484,https://pubmed.ncbi.nlm.nih.gov/42164058/,1
tfidf,6,bronchitis mucus cough,8,42182805,A pilot study on the relationship between temperature and humidity and the detection of basidiomycetes in sputum from patients with chronic cough in the Nagasaki region.,4.8286044522705724,https://pubmed.ncbi.nlm.nih.gov/42182805/,2
tfidf,6,bronchitis mucus cough,9,42175396,Clinical characteristics and predictors of Mycoplasma pneumoniae pneumonia coinfection with Bordetella pertussis in children.,3.9113452188033166,https://pubmed.ncbi.nlm.nih.gov/42175396/,1
tfidf,6,bronchitis mucus cough,10,42211704,"Genetic and epidemiological characteristics of the spread of human metapneumovirus in Bulgaria, 2023-2025.",3.763640477632886,https://pubmed.ncbi.nlm.nih.gov/42211704/,0
tfidf,7,lung infection fever,1,42157124,"Prevalence, associated factors and treatment prescriptions for community-acquired pneumonia: a cross-sectional study at the largest children's hospital in the Ashanti Region, Ghana.",6.537478410839505,https://pubmed.ncbi.nlm.nih.gov/42157124/,1
tfidf,7,lung infection fever,2,42157123,Predicting societal risk factors for respiratory co-infections: a cross-sectional study based on multi-source fever clinic data.,6.342879304672824,https://pubmed.ncbi.nlm.nih.gov/42157123/,2
tfidf,7,lung infection fever,3,42175396,Clinical characteristics and predictors of Mycoplasma pneumoniae pneumonia coinfection with Bordetella pertussis in children.,6.2531181873134205,https://pubmed.ncbi.nlm.nih.gov/42175396/,1
tfidf,7,lung infection fever,4,42168872,Antibacterial mechanism and in vivo efficacy of cladribine against carbapenem-resistant Klebsiella pneumoniae.,5.591503763978282,https://pubmed.ncbi.nlm.nih.gov/42168872/,0
tfidf,7,lung infection fever,5,42174512,Risk factors for neonatal multidrug-resistant Gram-negative bacilli infection in a neonatal intensive care unit in South China: a 5-year clinical analysis.,5.590619938666693,https://pubmed.ncbi.nlm.nih.gov/42174512/,2
tfidf,7,lung infection fever,6,42205716,Life-Threatening Necrotizing Pneumonia in a Pediatric Patient: A Complicated Case From Palestine.,5.421828668800489,https://pubmed.ncbi.nlm.nih.gov/42205716/,1
tfidf,7,lung infection fever,7,42175403,Mycobacterium avium complex pulmonary disease in rheumatoid arthritis-associated interstitial lung disease under non-biologic immunomodulatory therapy: A case report.,4.008678374021763,https://pubmed.ncbi.nlm.nih.gov/42175403/,2
tfidf,7,lung infection fever,8,42198590,"Antiviral Efficacy of the Traditional Chinese Medicine Mixture Yuanzhixingrenheji Against Human Adenovirus-7 In Vitro, In Vivo, and in a Clinical Retrospective Study.",3.921123646442074,https://pubmed.ncbi.nlm.nih.gov/42198590/,0
tfidf,7,lung infection fever,9,42211619,Pulmonary Mucormycosis Presenting as Rapidly Progressive Cavitary Pneumonia and Lung Abscess in a Patient With Type 2 Diabetes Mellitus and a Solitary Functioning Kidney: A Report of a Rare Case.,3.920664952483853,https://pubmed.ncbi.nlm.nih.gov/42211619/,2
tfidf,7,lung infection fever,10,42186615,Legionnaires' Disease Presenting With Erythema Multiforme in an Immunocompetent Patient.,3.796078939109165,https://pubmed.ncbi.nlm.nih.gov/42186615/,0
tfidf,8,asthma wheezing children,1,42161543,"Association of early-life human rhinovirus and respiratory syncytial virus infections with childhood asthma: a cohort study in Suzhou, China.",12.698394154089724,https://pubmed.ncbi.nlm.nih.gov/42161543/,2
tfidf,8,asthma wheezing children,2,42158373,RSV-infected children with mixed infections: clinical features and early predictive indicators of codetection with Streptococcus pneumoniae and Haemophilus influenzae.,12.112662196328964,https://pubmed.ncbi.nlm.nih.gov/42158373/,2
tfidf,8,asthma wheezing children,3,42194240,Early Risk Stratification for Subsequent Small Airway Dysfunction in Hospitalized Children with Mycoplasma Pneumoniae Pneumonia: A Retrospective Cohort Study.,10.369917970298012,https://pubmed.ncbi.nlm.nih.gov/42194240/,2
tfidf,8,asthma wheezing children,4,42204487,A prospective observational pilot study assessing childhood asthma control in areas with increased urban environmental greenery.,8.562288744555767,https://pubmed.ncbi.nlm.nih.gov/42204487/,2
tfidf,8,asthma wheezing children,5,42188340,Association of Plasma IL-6 with Indoor Radon Exposure in Children with Non-Allergic Asthma.,8.299402443574811,https://pubmed.ncbi.nlm.nih.gov/42188340/,2
tfidf,8,asthma wheezing children,6,42180379,Rental housing may contribute to racial and ethnic disparities in upper respiratory infections.,8.29532399798223,https://pubmed.ncbi.nlm.nih.gov/42180379/,1
tfidf,8,asthma wheezing children,7,42157175,Nutritional status and clinical severity in children with sickle cell disease and confirmed asthma: a multicentre observational study.,8.100120009427119,https://pubmed.ncbi.nlm.nih.gov/42157175/,2
tfidf,8,asthma wheezing children,8,42194236,"Severe Asthma Exacerbations in the Pediatric Intensive Care Unit: Clinical Profile, Management, and Outcomes-Retrospective Study.",8.01810050630076,https://pubmed.ncbi.nlm.nih.gov/42194236/,2
tfidf,8,asthma wheezing children,9,42183282,Paradoxical enrichment of Akkermansia in children with poorly controlled asthma: a longitudinal study.,7.967910094243988,https://pubmed.ncbi.nlm.nih.gov/42183282/,2
tfidf,8,asthma wheezing children,10,42158705,Clinical characteristics and prognostic factors influencing respiratory syncytial virus pneumonia in children with atopy: a retrospective cohort study.,7.696262709981775,https://pubmed.ncbi.nlm.nih.gov/42158705/,2
tfidf,9,respiratory failure oxygen,1,42216363,Effect of integrated nursing on serum inflammatory factors and oxygenation indices in children with severe respiratory failure: A prospective quasi-experimental controlled study.,10.147646445810665,https://pubmed.ncbi.nlm.nih.gov/42216363/,2
tfidf,9,respiratory failure oxygen,2,42195248,Clinical Outcomes and Risk Factors of Healthcare-Associated Infections in Surgical Wards: A Retrospective Cohort Study.,7.735694017650478,https://pubmed.ncbi.nlm.nih.gov/42195248/,0
tfidf,9,respiratory failure oxygen,3,42177124,"Molecular and clinical characterization of human adenovirus type 21 (HAdV-21) associated with respiratory tract infections in hospitalized adults in Hangzhou, China, 2022-2024.",7.516271711173645,https://pubmed.ncbi.nlm.nih.gov/42177124/,2
tfidf,9,respiratory failure oxygen,4,42212111,STAT2 R148 variant: A 16th-century founder mutation and clinical response to high-dose JAK inhibitor therapy.,7.200058487746749,https://pubmed.ncbi.nlm.nih.gov/42212111/,0
tfidf,9,respiratory failure oxygen,5,42194821,"Clinical, Functional, and Comorbid Characteristics of COPD Patients with Impaired Diffusing Capacity: A Cross-Sectional Study.",6.072399416470381,https://pubmed.ncbi.nlm.nih.gov/42194821/,1
tfidf,9,respiratory failure oxygen,6,42195058,"Non-Invasive Respiratory Support in ""De Novo"" Acute Hypoxemic Respiratory Failure: Which Technique Is Best?",5.880067688968891,https://pubmed.ncbi.nlm.nih.gov/42195058/,2
tfidf,9,respiratory failure oxygen,7,42196173,"Diagnostic Usefulness of SP-D, CCL2/MCP-1, and IL-18 in Assessing Respiratory Function and Risk of Pulmonary Fibrosis in COVID-19 Patients.",5.093109707924753,https://pubmed.ncbi.nlm.nih.gov/42196173/,2
tfidf,9,respiratory failure oxygen,8,42186711,Clinical and economic burden of respiratory syncytial virus among adults hospitalised with acute respiratory infections in Portugal.,4.807889822373157,https://pubmed.ncbi.nlm.nih.gov/42186711/,2
tfidf,9,respiratory failure oxygen,9,42193881,Impact of Supplemental Oxygen on Cardiovascular Physiology.,4.656667390987613,https://pubmed.ncbi.nlm.nih.gov/42193881/,2
tfidf,9,respiratory failure oxygen,10,42212304,BAL Flow Cytometry Unmasks Nodal T Follicular Helper Cell Lymphoma-Associated Hemophagocytic Lymphohistiocytosis When Bone Marrow Is Nondiagnostic: A Case Report.,4.4916765989462615,https://pubmed.ncbi.nlm.nih.gov/42212304/,0
tfidf,10,chest pain difficulty breathing,1,42207455,Asthma daytime and nighttime symptom diaries: content validity and qualitative exploration of meaningful change in patients with moderate-to-severe asthma.,10.5760317867067,https://pubmed.ncbi.nlm.nih.gov/42207455/,1
tfidf,10,chest pain difficulty breathing,2,42201061,Task-Evoked Pupillary Dynamics Are Altered in Post-COVID Syndrome.,8.092574833020494,https://pubmed.ncbi.nlm.nih.gov/42201061/,0
tfidf,10,chest pain difficulty breathing,3,42201088,"Spontaneous Pneumomediastinum, Subcutaneous Emphysema, and Pneumoperitoneum in RT-PCR-Confirmed Measles: A Pediatric Case Report.",7.948095934218981,https://pubmed.ncbi.nlm.nih.gov/42201088/,0
